sido_short,sigungu,registration,total_chargers,fast_chargers,slow_chargers,apt_charger_count,apt_charger_ratio,log_reg,expected_total,gap_pct_total,expected_fast,gap_pct_fast,expected_slow,gap_pct_slow,n_reported,ok_rate,broken_rate,busy_rate,n_kw_reported,avg_kw,log_pop,apt_ratio,old_housing_ratio,parking_ratio,subsidy_receipt_rate,budget_exec_rate,is_deficit
경기,오산시,2461.0,1173,115,1058,924,0.7877237851662404,7.8083230503910555,867.8533223524521,35.1610888370399,112.30804100437082,2.3969423485219687,720.8345087686761,46.774327134707725,2975.0,96.97478991596638,1.546218487394958,9.774696707105718,12.0,120.83333333333333,12.44536903449918,83.2,9.340350395053248,89.8,73.0,71.0,0.0
경기,용인시 기흥구,6929.0,3238,156,3082,2651,0.8187152563310686,8.843470781627381,2631.9480668530223,23.026743604087297,203.82263001717612,-23.462865734362325,2537.3403815805073,21.46576873853341,6449.0,94.47976430454335,1.8762598852535277,14.623338257016247,11.0,90.9090909090909,12.970349080551639,86.7,3.493230435306885,94.0,80.0,79.0,0.0
경기,용인시 수지구,4440.0,2703,68,2635,2433,0.9001109877913429,8.39840965542627,1633.4821076949981,65.47472343080607,157.7479184706972,-56.893250535897565,1477.0419746070277,78.39709671765091,4973.0,96.03860848582345,0.9652121455861653,11.369346733668342,8.0,150.0,12.798625710854417,92.7,0.1770789594615294,97.1,80.0,79.0,0.0
경기,용인시 처인구,4202.0,1373,158,1215,822,0.5986890021849963,8.343315881404946,1539.8195944270894,-10.833710327550216,152.82249542043436,3.3879204532825113,1381.3512163553826,-12.0426445053048,2703.0,88.86422493525711,6.807251202367739,13.030807660283097,27.0,124.07407407407408,12.564701179967729,50.8,12.857803561033382,88.5,80.0,79.0,0.0
경기,의왕시,1764.0,824,135,689,536,0.6504854368932039,7.475339236566737,607.3682794756917,35.66727599131696,92.71442933341814,45.60840310467227,480.8669064923199,43.282889859463495,1745.0,93.92550143266476,2.005730659025788,13.361805979255644,5.0,70.0,11.927059555302119,85.5,10.17550298184678,91.9,83.0,81.0,0.0
경기,의정부시,3805.0,2200,132,2068,1900,0.8636363636363636,8.244071270295786,1384.4407653295266,58.908929518292005,144.33474784161373,-8.545930918277078,1224.34660863011,68.90641795576435,4180.0,92.20095693779903,4.449760765550239,12.714063310845875,13.0,111.53846153846153,13.03137902769101,78.5,15.550509648994204,89.7,82.0,77.0,0.0
경기,이천시,2779.0,1177,204,973,677,0.5751911639762107,7.929846429742503,988.5802009385911,19.059637132375997,120.44758827862474,69.36827288571199,835.5995004642303,16.443343905714958,2114.0,94.6073793755913,1.7029328287606436,12.9,34.0,126.47058823529412,12.346655989593016,52.2,20.639240973640817,89.5,79.0,75.0,0.0
경기,파주시,6412.0,2570,219,2351,1918,0.7463035019455253,8.765926513729443,2422.047898341268,6.108553912581849,194.92262117723448,12.352275316918204,2309.0666540821157,1.8160301195182749,5982.0,94.55031761952523,3.1260448010698765,13.4016973125884,49.0,146.9387755102041,13.143516073339736,73.6,9.403631840041264,92.0,76.0,70.0,0.0
경기,평택시,7098.0,3810,220,3590,3221,0.8454068241469817,8.867568333206442,2700.809924841108,41.06879439967057,206.67029554255336,6.449743743992498,2612.7742848084595,37.40184220556122,7195.0,94.8714384989576,1.904100069492703,10.342806914737768,19.0,128.94736842105263,13.33060443612846,72.5,14.815942314924996,86.8,75.0,73.0,0.0
경기,포천시,1962.0,569,115,454,181,0.3181019332161687,7.581719640125308,680.7208803210825,-16.41214241413984,98.5707459738348,16.667474577625985,547.2581244221649,-17.04097577731416,1153.0,90.11274934952299,1.9080659150043366,10.490856592877767,42.0,159.52380952380952,11.965057850596995,38.2,22.72307167568094,87.2,66.0,66.0,0.0
경기,하남시,4428.0,1972,165,1807,1511,0.7662271805273834,8.395703293828527,1628.7508285813817,21.07438199847813,157.5023014372126,4.760373971917042,1472.190182156913,22.742293889812238,4422.0,96.47218453188603,0.9497964721845319,14.275668073136426,30.0,163.33333333333334,12.678797568694597,90.0,3.827983040581466,93.1,93.0,91.0,0.0
경기,화성시,13931.0,5805,492,5313,4378,0.7541774332472007,9.541871851706224,5563.685617629063,4.337311612401495,304.71197197942485,61.46395456796212,5930.953016098713,-10.419118384876247,13781.0,94.49967346346419,2.1769102387344894,12.884895953313368,79.0,157.59493670886076,13.819581261397254,83.3,4.300640162690115,93.8,80.0,76.0,0.0
경남,거제시,2215.0,1375,149,1226,904,0.6574545454545454,7.703007682479236,775.2202482314458,77.36894813272306,105.70035678818347,40.96451944678498,634.2063194935175,93.3124855928736,2505.0,91.53692614770459,3.5528942115768465,8.547754034016572,23.0,121.73913043478261,12.393729941913648,72.2,17.551604047626647,91.4,67.0,66.0,0.0
경남,거창군,875.0,163,52,111,22,0.13496932515337423,6.774223886357614,286.4860124119889,-43.103679433537756,61.92007870690781,-16.020778581150484,205.0435141279932,-45.86514941861996,302.0,77.48344370860927,21.52317880794702,11.11111111111111,29.0,117.24137931034483,10.974951298618475,32.5,39.081436972641264,81.3,225.0,225.0,1.0
경남,고성군,720.0,195,68,127,42,0.2153846153846154,6.579251212010101,232.46059583057186,-16.11481537192432,55.34495567579907,22.865759254252428,161.7719645401522,-21.494431769431664,308.0,83.76623376623377,4.545454545454546,7.3643410852713185,42.0,135.71428571428572,10.771931674953063,23.2,39.32422360248447,78.0,71.0,71.0,0.0
경남,김해시,5416.0,2824,274,2550,2213,0.7836402266288952,8.59711281459211,2021.1795211080673,39.720394477963254,176.86826316104833,54.917561298438166,1880.638214042699,35.59226761208967,5332.0,91.07276819204802,5.326331582895724,12.705930807248764,70.0,100.0,13.217420797995008,79.3,14.28196730049169,90.1,101.0,99.0,0.0
